userid,NodeType,Partyaff
22523087,Politician,2.0
1081312310059250048,Politician,
1080477288955820032,Politician,
816012124505931008,Politician,
162069635,Politician,2.0
22055226,Politician,1.0
1080894931311430016,Politician,
1075040139351590016,Politician,
2847221717,Politician,1.0
1080854935535800064,Politician,
1075904377221720064,Politician,
19926675,Politician,1.0
156333623,Politician,2.0
26424123,Politician,1.0
295685416,Politician,1.0
161743731,Politician,1.0
377534571,Politician,1.0
1058051748,Politician,1.0
818536152588237952,Politician,
1075517806551149952,Politician,
237312687,Politician,1.0
80612021,Politician,2.0
816284664658873984,Politician,
231510077,Politician,2.0
1082790600292920064,Politician,
20053279,Politician,1.0
2963445730,Politician,1.0
23976316,Politician,1.0
1077446982,Politician,1.0
15751083,Politician,1.0
1039879658400109952,Politician,
210926192,Politician,2.0
1080587263132729984,Politician,
168502762,Politician,2.0
18030431,Politician,1.0
1078355119920560000,Politician,
1074129612,Politician,2.0
1083448909,Politician,2.0
153944899,Politician,2.0
2929491549,Politician,1.0
148006729,Politician,2.0
1072008757,Politician,1.0
931614483050413952,Politician,
196362083,Politician,2.0
15356407,Politician,1.0
1080292515939559936,Politician,
161791703,Politician,1.0
816181091673447936,Politician,
1080504024695219968,Politician,
1072158357237170048,Politician,
1078771401497159936,Politician,
2962868158,Politician,2.0
234057152,Politician,1.0
1017819745880540032,Politician,
78445977,Politician,2.0
1410590874,Politician,2.0
995193054,Politician,2.0
404132211,Politician,2.0
242926427,Politician,1.0
2930635215,Politician,1.0
17976923,Politician,1.0
1058917562,Politician,2.0
815733290955111936,Politician,
1080462532815529984,Politician,
58928690,Politician,2.0
1068499286,Politician,1.0
1075205691621720064,Politician,1.0
1206227149,Politician,2.0
112740986,Politician,2.0
22669526,Politician,2.0
851621377,Politician,1.0
2976606250,Politician,1.0
815966620300480000,Politician,
240427862,Politician,1.0
2964526557,Politician,1.0
1081318716573469952,Politician,
816719802328715008,Politician,
14499829,HealthAgency,
44783853,HealthAgency,
138530516,HealthAgency,
138530516,HealthAgency,
138530516,HealthAgency,
138530516,HealthAgency,
70837868,HealthAgency,
455024343,HealthAgency,
146569971,HealthAgency,
70837868,HealthAgency,
15134240,HealthAgency,
24959108,HealthAgency,
70837868,HealthAgency,
70837868,HealthAgency,
44957814,HealthAgency,
70837868,HealthAgency,
70837868,HealthAgency,
70837868,HealthAgency,
70837868,HealthAgency,
70837868,HealthAgency,
911306494536224000,HealthAgency,
44034613,HealthAgency,
407228333,HealthAgency,
460473395,HealthAgency,
2910903323,HealthAgency,
418859255,HealthAgency,
2363238127,HealthAgency,
460534166,HealthAgency,
414860556,HealthAgency,
426033838,HealthAgency,
431100994,HealthAgency,
3177403355,HealthAgency,
323311059,HealthAgency,
19797326,HealthAgency,
16952753,HealthAgency,
111630094,HealthAgency,
33934492,HealthAgency,
331244103,HealthAgency,
35789875,HealthAgency,
47356175,HealthAgency,
117793973,HealthAgency,
296814488,HealthAgency,
325113018,HealthAgency,
78450167,HealthAgency,
318509758,HealthAgency,
71652085,HealthAgency,
